date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:40	3178/3178	---M--	200	added ('OK')	image/png	etag:%225e4f2fa8-c6a%22	https://niftymarketing.com/wp-content/uploads/fbrfg/apple-touch-icon.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/fbrfg/apple-touch-icon.png	(from https://niftymarketing.com/)
19:09:42	1260/1260	---M--	200	added ('OK')	image/png	etag:%225e4f2fa8-4ec%22	https://niftymarketing.com/wp-content/uploads/fbrfg/favicon-32x32.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/fbrfg/favicon-32x32.png	(from https://niftymarketing.com/)
19:09:43	766/766	---M--	200	added ('OK')	image/png	etag:%225e4f2fa8-2fe%22	https://niftymarketing.com/wp-content/uploads/fbrfg/favicon-16x16.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/fbrfg/favicon-16x16.png	(from https://niftymarketing.com/)
19:09:44	312/312	---M--	200	added ('OK')	text/html	etag:%22138-59f0bc8f87c00%22	https://niftymarketing.com/wp-content/uploads/fbrfg/site.webmanifest	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/fbrfg/site.html	(from https://niftymarketing.com/)
19:09:46	1540/1540	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e4f2fa8-604%22	https://niftymarketing.com/wp-content/uploads/fbrfg/safari-pinned-tab.svg	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/fbrfg/safari-pinned-tab.svg	(from https://niftymarketing.com/)
19:09:46	7406/7406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e4f2fa8-1cee%22	https://niftymarketing.com/wp-content/uploads/fbrfg/favicon.ico	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/fbrfg/favicon.ico	(from https://niftymarketing.com/)
19:09:47	1043/1043	---M--	200	added ('OK')	image/png	etag:%225e4f2fa9-413%22	https://niftymarketing.com/wp-content/uploads/2020/02/cropped-favicon-1-32x32.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2020/02/cropped-favicon-1-32x32.png	(from https://niftymarketing.com/)
19:09:48	122036/122036	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2014:09:46%20GMT	https://niftymarketing.com/?amp	C:/My%20Web%20Sites/dunder2/niftymarketing.com/index162c.html	(from https://niftymarketing.com/)
19:09:49	8661/8661	---M--	200	added ('OK')	image/png	etag:%225e4f2fa9-21d5%22	https://niftymarketing.com/wp-content/uploads/2020/02/cropped-favicon-1-192x192.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2020/02/cropped-favicon-1-192x192.png	(from https://niftymarketing.com/)
19:09:51	7925/7925	---M--	200	added ('OK')	image/png	etag:%225e4f2fa9-1ef5%22	https://niftymarketing.com/wp-content/uploads/2020/02/cropped-favicon-1-180x180.png	C:/My%20Web%20Sites/dunder2/niftymarketing.com/wp-content/uploads/2020/02/cropped-favicon-1-180x180.png	(from https://niftymarketing.com/)
